Rank[a],State/Union territory,2021-22,2022-23,2023-24,Change
1,Sikkim,466518,520466,587743,12.90%
2,Goa,459094,492648,,
3,Delhi,376217,430120,461910,7.40%
4,Chandigarh,337406,399654,,
5,Telangana,269000,312522,356564,14.10%
6,Karnataka,266866,304474,332926,9.30%
7,Haryana,264729,296592,325759,9.80%
8,Tamil Nadu,242339,277802,315220,13.50%
9,Gujarat,241584,272451,,
10,Andaman and Nicobar Islands,229570,258151,,
11,Kerala,230280,252662,281001,11.20%
12,Maharashtra,219573,252389,277603,10%
13,Puducherry,231557,245180,262166,6.90%
14,Uttarakhand,205246,230994,260201,12.60%
15,Andhra Pradesh,197214,219881,242479,10.30%
16,Himachal Pradesh,195795,218788,235199,7.50%
17,Mizoram,190965,215144,,
18,Arunachal Pradesh,190851,199992,,
19,Punjab,170276,181678,196505,8.20%
20,Tripura,137032,157364,177723,12.90%
21,Rajasthan,134060,150653,167964,11.50%
22,Nagaland,127225,145537,,
23,Odisha,134091,143768,163101,13.40%
24,West Bengal,121904,139442,154119,10.50%
25,Chhattisgarh,122934,137329,147361,7.30%
26,Madhya Pradesh,116689,132010,142565,8%
27,Jammu and Kashmir[b],112898,130492,142138,8.90%
28,Meghalaya,107971,123896,136948,10.50%
29,Assam,103371,119308,135787,13.80%
30,Manipur,98826,111853,,
31,Jharkhand,88500,96449,105274,9.10%
32,Uttar Pradesh,73841,83636,93514,11.80%
33,Bihar,47296,53478,60337,12.80%
